gene_set_name	in_manual_selection	in_immune_terms	is_immune_process
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_2FE_2S_CLUSTER_ASSEMBLY	FALSE	FALSE	FALSE
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	FALSE	FALSE	FALSE
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	TRUE	FALSE	TRUE
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	FALSE	FALSE	FALSE
GOBP_ABSCISSION	FALSE	FALSE	FALSE
GOBP_ACETATE_ESTER_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	FALSE	FALSE	FALSE
GOBP_ACETYL_COA_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ACID_SECRETION	FALSE	FALSE	FALSE
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	FALSE	FALSE	FALSE
GOBP_ACROSOME_ASSEMBLY	FALSE	FALSE	FALSE
GOBP_ACROSOME_REACTION	FALSE	FALSE	FALSE
GOBP_ACTIN_CROSSLINK_FORMATION	FALSE	FALSE	FALSE
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	TRUE	TRUE	TRUE
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_BASED_PROCESS	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_REORGANIZATION	FALSE	FALSE	FALSE
GOBP_ACTIN_FILAMENT_SEVERING	FALSE	FALSE	FALSE
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	FALSE	FALSE	FALSE
GOBP_ACTIN_MODIFICATION	FALSE	FALSE	FALSE
GOBP_ACTIN_NUCLEATION	FALSE	FALSE	FALSE
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	FALSE	FALSE	FALSE
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	FALSE	FALSE	FALSE
GOBP_ACTION_POTENTIAL	FALSE	FALSE	FALSE
GOBP_ACTIVATED_T_CELL_PROLIFERATION	FALSE	TRUE	TRUE
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	FALSE	TRUE	TRUE
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	TRUE	TRUE	TRUE
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	TRUE	TRUE	TRUE
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_JNKK_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_JUN_KINASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_MAPK_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_MAPKK_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_MAPKKK_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	TRUE	TRUE	TRUE
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	TRUE	FALSE	TRUE
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	FALSE	FALSE	FALSE
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ACUTE_INFLAMMATORY_RESPONSE	TRUE	TRUE	TRUE
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	FALSE	TRUE	TRUE
GOBP_ACUTE_PHASE_RESPONSE	FALSE	FALSE	FALSE
GOBP_ACYL_CARNITINE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ACYLGLYCEROL_ACYL_CHAIN_REMODELING	FALSE	FALSE	FALSE
GOBP_ACYLGLYCEROL_HOMEOSTASIS	FALSE	FALSE	FALSE
GOBP_ACYLGLYCEROL_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE	TRUE	TRUE	TRUE
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	TRUE	TRUE	TRUE
GOBP_ADAPTIVE_THERMOGENESIS	FALSE	FALSE	FALSE
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ADENOSINE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ADENOSINE_TO_INOSINE_EDITING	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADHERENS_JUNCTION_ASSEMBLY	FALSE	FALSE	FALSE
GOBP_ADHERENS_JUNCTION_MAINTENANCE	FALSE	FALSE	FALSE
GOBP_ADHERENS_JUNCTION_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ADHESION_OF_SYMBIONT_TO_HOST	FALSE	FALSE	FALSE
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	FALSE	FALSE	FALSE
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ADP_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ADP_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ADRENAL_GLAND_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ADULT_BEHAVIOR	FALSE	FALSE	FALSE
GOBP_ADULT_FEEDING_BEHAVIOR	FALSE	FALSE	FALSE
GOBP_ADULT_HEART_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	FALSE	FALSE	FALSE
GOBP_AEROBIC_RESPIRATION	FALSE	FALSE	FALSE
GOBP_AGGREPHAGY	FALSE	FALSE	FALSE
GOBP_AGGRESOME_ASSEMBLY	FALSE	FALSE	FALSE
GOBP_AGGRESSIVE_BEHAVIOR	FALSE	FALSE	FALSE
GOBP_AGING	FALSE	FALSE	FALSE
GOBP_ALANINE_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALANINE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALCOHOL_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALCOHOL_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDEHYDE_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDITOL_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDITOL_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALDOSTERONE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALKALOID_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	TRUE	TRUE	TRUE
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	TRUE	TRUE	TRUE
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	FALSE	TRUE	TRUE
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	FALSE	FALSE	FALSE
GOBP_AMACRINE_CELL_DIFFERENTIATION	FALSE	FALSE	FALSE
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	FALSE	FALSE	FALSE
GOBP_AMELOGENESIS	FALSE	FALSE	FALSE
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINE_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_AMINO_ACID_ACTIVATION	FALSE	FALSE	FALSE
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINO_ACID_BETAINE_TRANSPORT	FALSE	FALSE	FALSE
