,Small Component,Big Component,Small2 Component,Big2 Component,Score
64,consensus independent component 12_s1,consensus independent component 1514_big,consensus independent component 171_s2,consensus independent component 195_big,0.6507044724102184
132,consensus independent component 174_s2,consensus independent component 134_big,consensus independent component 21_s1,consensus independent component 167_big,0.09272411689210716
28,consensus independent component 113_s1,consensus independent component 1245_big,consensus independent component 190_s2,consensus independent component 333_big,0.08138055732588304
284,consensus independent component 74_s2,consensus independent component 25_big,consensus independent component 72_s1,consensus independent component 1050_big,0.015411810545482019
52,consensus independent component 124_s1,consensus independent component 72_big,consensus independent component 164_s2,consensus independent component 1014_big,-0.02019969912812042
130,consensus independent component 172_s2,consensus independent component 1169_big,consensus independent component 12_s1,consensus independent component 1514_big,-0.0625695316553527
120,consensus independent component 164_s2,consensus independent component 1014_big,consensus independent component 14_s1,consensus independent component 1779_big,-0.06564652411989945
2,consensus independent component 101_s1,consensus independent component 130_big,consensus independent component 74_s2,consensus independent component 25_big,-0.07274355525570697
207,consensus independent component 3_s1,consensus independent component 107_big,consensus independent component 49_s2,consensus independent component 107_big,-0.08368279344163931
146,consensus independent component 186_s2,consensus independent component 164_big,consensus independent component 67_s1,consensus independent component 27_big,-0.09707898998753572
137,consensus independent component 179_s2,consensus independent component 39_big,consensus independent component 5_s1,consensus independent component 39_big,-0.10276549359523934
275,consensus independent component 70_s1,consensus independent component 136_big,consensus independent component 74_s2,consensus independent component 25_big,-0.11113575945761586
152,consensus independent component 190_s2,consensus independent component 333_big,consensus independent component 109_s1,consensus independent component 126_big,-0.11345347630984443
156,consensus independent component 194_s2,consensus independent component 45_big,consensus independent component 75_s1,consensus independent component 844_big,-0.12780998855237366
40,consensus independent component 119_s1,consensus independent component 151_big,consensus independent component 74_s2,consensus independent component 25_big,-0.13999530747589348
201,consensus independent component 37_s1,consensus independent component 460_big,consensus independent component 136_s2,consensus independent component 1738_big,-0.16496547367217723
225,consensus independent component 48_s1,consensus independent component 1057_big,consensus independent component 136_s2,consensus independent component 1738_big,-0.17089876523577358
253,consensus independent component 60_s1,consensus independent component 41_big,consensus independent component 46_s2,consensus independent component 41_big,-0.17454319492175785
315,consensus independent component 89_s1,consensus independent component 75_big,consensus independent component 189_s2,consensus independent component 232_big,-0.17600023597274148
124,consensus independent component 168_s2,consensus independent component 168_big,consensus independent component 34_s1,consensus independent component 1100_big,-0.18816669429276073
104,consensus independent component 150_s2,consensus independent component 176_big,consensus independent component 50_s1,consensus independent component 176_big,-0.19283490699521355
153,consensus independent component 191_s2,consensus independent component 28_big,consensus independent component 136_s1,consensus independent component 28_big,-0.20062633024258558
118,consensus independent component 162_s2,consensus independent component 127_big,consensus independent component 1_s1,consensus independent component 127_big,-0.20416016529934622
108,consensus independent component 154_s2,consensus independent component 135_big,consensus independent component 49_s1,consensus independent component 135_big,-0.2100609433066002
142,consensus independent component 182_s2,consensus independent component 18_big,consensus independent component 71_s1,consensus independent component 40_big,-0.2105739490047508
182,consensus independent component 28_s2,consensus independent component 52_big,consensus independent component 64_s1,consensus independent component 52_big,-0.21245096390562324
313,consensus independent component 88_s1,consensus independent component 297_big,consensus independent component 151_s2,consensus independent component 786_big,-0.22485279030894112
128,consensus independent component 170_s2,consensus independent component 69_big,consensus independent component 139_s1,consensus independent component 69_big,-0.2402851624316681
292,consensus independent component 78_s2,consensus independent component 138_big,consensus independent component 128_s1,consensus independent component 138_big,-0.24399244242057033
241,consensus independent component 55_s1,consensus independent component 22_big,consensus independent component 24_s2,consensus independent component 22_big,-0.25076310459340323
109,consensus independent component 155_s2,consensus independent component 88_big,consensus independent component 94_s1,consensus independent component 88_big,-0.2525803553304487
170,consensus independent component 22_s2,consensus independent component 21_big,consensus independent component 24_s1,consensus independent component 21_big,-0.2539420854719099
243,consensus independent component 56_s1,consensus independent component 131_big,consensus independent component 92_s2,consensus independent component 131_big,-0.2577579270092497
127,consensus independent component 16_s2,consensus independent component 32_big,consensus independent component 31_s1,consensus independent component 32_big,-0.25965018117413663
20,consensus independent component 10_s1,consensus independent component 84_big,consensus independent component 86_s2,consensus independent component 84_big,-0.26291517652090735
89,consensus independent component 140_s2,consensus independent component 64_big,consensus independent component 57_s1,consensus independent component 64_big,-0.26366283319307726
168,consensus independent component 21_s2,consensus independent component 19_big,consensus independent component 9_s1,consensus independent component 19_big,-0.26597759362911755
335,consensus independent component 98_s1,consensus independent component 36_big,consensus independent component 57_s2,consensus independent component 36_big,-0.2713453336565884
272,consensus independent component 69_s2,consensus independent component 51_big,consensus independent component 40_s1,consensus independent component 51_big,-0.27240656711119426
307,consensus independent component 85_s1,consensus independent component 67_big,consensus independent component 87_s2,consensus independent component 67_big,-0.2773565776430926
126,consensus independent component 16_s1,consensus independent component 10_big,consensus independent component 19_s2,consensus independent component 10_big,-0.28596416494663524
123,consensus independent component 167_s2,consensus independent component 134_big,consensus independent component 93_s1,consensus independent component 134_big,-0.2861856167229738
4,consensus independent component 102_s1,consensus independent component 56_big,consensus independent component 101_s2,consensus independent component 56_big,-0.28751419160754904
58,consensus independent component 127_s1,consensus independent component 149_big,consensus independent component 188_s2,consensus independent component 149_big,-0.2956419464922949
282,consensus independent component 73_s2,consensus independent component 1824_big,consensus independent component 4_s1,consensus independent component 1824_big,-0.29587191049230577
155,consensus independent component 193_s2,consensus independent component 11_big,consensus independent component 44_s1,consensus independent component 11_big,-0.3024798211506431
150,consensus independent component 18_s1,consensus independent component 158_big,consensus independent component 142_s2,consensus independent component 158_big,-0.30546373761551304
295,consensus independent component 7_s1,consensus independent component 33_big,consensus independent component 25_s2,consensus independent component 33_big,-0.3128419524501336
133,consensus independent component 175_s2,consensus independent component 79_big,consensus independent component 20_s1,consensus independent component 79_big,-0.3160774195897077
145,consensus independent component 185_s2,consensus independent component 163_big,consensus independent component 105_s1,consensus independent component 56_big,-0.31747480939360867
21,consensus independent component 10_s2,consensus independent component 102_big,consensus independent component 84_s1,consensus independent component 102_big,-0.3186474273444412
157,consensus independent component 195_s2,consensus independent component 58_big,consensus independent component 83_s1,consensus independent component 58_big,-0.32172104928499023
213,consensus independent component 42_s1,consensus independent component 27_big,consensus independent component 76_s2,consensus independent component 27_big,-0.3269040328574475
45,consensus independent component 120_s2,consensus independent component 58_big,consensus independent component 83_s1,consensus independent component 58_big,-0.3269841139020434
75,consensus independent component 134_s2,consensus independent component 85_big,consensus independent component 82_s1,consensus independent component 85_big,-0.3317101203388082
106,consensus independent component 152_s2,consensus independent component 114_big,consensus independent component 95_s1,consensus independent component 114_big,-0.3377783064191503
178,consensus independent component 26_s2,consensus independent component 57_big,consensus independent component 77_s1,consensus independent component 57_big,-0.3408173165436249
141,consensus independent component 181_s2,consensus independent component 99_big,consensus independent component 28_s1,consensus independent component 77_big,-0.34919162684257554
158,consensus independent component 196_s2,consensus independent component 1370_big,consensus independent component 126_s1,consensus independent component 42_big,-0.3628903223123737
110,consensus independent component 156_s2,consensus independent component 46_big,consensus independent component 138_s1,consensus independent component 46_big,-0.3640806631151765
217,consensus independent component 44_s1,consensus independent component 11_big,consensus independent component 82_s2,consensus independent component 11_big,-0.3664701512631866
51,consensus independent component 123_s2,consensus independent component 129_big,consensus independent component 111_s1,consensus independent component 129_big,-0.36657868185396447
24,consensus independent component 111_s1,consensus independent component 129_big,consensus independent component 115_s2,consensus independent component 129_big,-0.3703996673006206
