chromosome	chrom_pvalue	extreme_value_magnitude	extreme_value_status	name
21	0.236	0.237520208913814	1	consensus independent component 41_Gastric cancer
18	0.037	0.202791735191544	1	consensus independent component 41_Gastric cancer
4	0.004	0.196764829707447	1	consensus independent component 41_Gastric cancer
13	0	0.192616258648511	1	consensus independent component 41_Gastric cancer
8	0.002	0.160565519253465	1	consensus independent component 41_Gastric cancer
15	0.003	0.152289301691064	1	consensus independent component 41_Gastric cancer
22	0.02	0.142925673788526	1	consensus independent component 41_Gastric cancer
6	0.001	0.140779918794665	1	consensus independent component 41_Gastric cancer
14	0	0.139944684720434	1	consensus independent component 41_Gastric cancer
16	0	0.137466263727722	1	consensus independent component 41_Gastric cancer
12	0	0.134370000157421	1	consensus independent component 41_Gastric cancer
3	0	0.131318732979303	1	consensus independent component 41_Gastric cancer
2	0	0.121535481871608	1	consensus independent component 41_Gastric cancer
20	0.01	0.114389595446481	1	consensus independent component 41_Gastric cancer
23	0.013	0.110736989235523	1	consensus independent component 41_Gastric cancer
11	0.028	0.105376723131587	1	consensus independent component 41_Gastric cancer
5	0.028	0.102067878780244	1	consensus independent component 41_Gastric cancer
9	0.353	0.0883285722858104	1	consensus independent component 41_Gastric cancer
7	0.462	0.0810442483119289	1	consensus independent component 41_Gastric cancer
1	0.232	0.0808697041809701	1	consensus independent component 41_Gastric cancer
17	0.775	0.0600404417134124	1	consensus independent component 41_Gastric cancer
24	0.996	0.0182837941117457	-1	consensus independent component 41_Gastric cancer
19	0.983	0.0137260288558481	-1	consensus independent component 41_Gastric cancer
10	0.924	0.0047997067180044	1	consensus independent component 41_Gastric cancer
24	0.225	0.223405765275876	1	consensus independent component 93_Sarcoma
21	0.002	0.221521383948013	1	consensus independent component 93_Sarcoma
5	0.583	0.106235567687154	1	consensus independent component 93_Sarcoma
3	0.58	0.0977231109802566	1	consensus independent component 93_Sarcoma
4	0.623	0.091287631192657	1	consensus independent component 93_Sarcoma
13	0.569	0.0878256591185407	1	consensus independent component 93_Sarcoma
23	0.597	0.0817269823702975	1	consensus independent component 93_Sarcoma
11	0.592	0.0776474508686768	1	consensus independent component 93_Sarcoma
1	0.428	0.0763646459448354	1	consensus independent component 93_Sarcoma
12	0.481	0.0710786142038329	1	consensus independent component 93_Sarcoma
15	0.498	0.0675437108510066	1	consensus independent component 93_Sarcoma
2	0.656	0.0617328638882234	1	consensus independent component 93_Sarcoma
16	0.666	0.058427034425688	1	consensus independent component 93_Sarcoma
9	0.473	0.0575687636831678	1	consensus independent component 93_Sarcoma
10	0.25	0.0574365250771853	1	consensus independent component 93_Sarcoma
17	0.408	0.0518124498816652	1	consensus independent component 93_Sarcoma
20	0.664	0.0444876877121422	1	consensus independent component 93_Sarcoma
14	0.471	0.0434300271779345	1	consensus independent component 93_Sarcoma
22	0.77	0.0335986404386985	1	consensus independent component 93_Sarcoma
8	0.69	0.0300658367504248	1	consensus independent component 93_Sarcoma
18	0.847	0.0215550837581351	1	consensus independent component 93_Sarcoma
7	0.639	0.020829829555212	1	consensus independent component 93_Sarcoma
6	0.7	0.0109336350076759	1	consensus independent component 93_Sarcoma
19	0.723	0.003601199709458	1	consensus independent component 93_Sarcoma
4	0.321	0.223284122879608	1	consensus independent component 53_Prostate cancer
14	0.072	0.199491492231503	1	consensus independent component 53_Prostate cancer
21	0.011	0.197895505948041	1	consensus independent component 53_Prostate cancer
9	0	0.188482479619332	1	consensus independent component 53_Prostate cancer
20	0	0.177062947562978	1	consensus independent component 53_Prostate cancer
13	0	0.16608028602267	1	consensus independent component 53_Prostate cancer
3	0.026	0.145319182687808	1	consensus independent component 53_Prostate cancer
6	0.292	0.130370834838717	1	consensus independent component 53_Prostate cancer
23	0.161	0.129358238148397	1	consensus independent component 53_Prostate cancer
15	0.148	0.125703021896862	1	consensus independent component 53_Prostate cancer
1	0.052	0.125058068442095	1	consensus independent component 53_Prostate cancer
2	0.156	0.118257126866183	1	consensus independent component 53_Prostate cancer
