,0,1,2,3,4,5,6
0,consensus independent component 163_Colorectal cancer,consensus independent component 108_Normal,consensus independent component 2908_big,,,,
1,consensus independent component 168_Breast cancer,consensus independent component 210_Normal,consensus independent component 3675_big,,,,
2,consensus independent component 276_Breast cancer,consensus independent component 66_Leukemia,consensus independent component 3617_big,,,,
3,consensus independent component 331_Breast cancer,consensus independent component 427_Normal,consensus independent component 99_Leukemia,consensus independent component 3523_big,,,
4,consensus independent component 257_Breast cancer,consensus independent component 97_Normal,consensus independent component 3683_big,,,,
5,consensus independent component 324_Breast cancer,consensus independent component 107_Normal,consensus independent component 3637_big,,,,
6,consensus independent component 8_Colorectal cancer,consensus independent component 2_Leukemia,consensus independent component 97_big,,,,
7,consensus independent component 31_Breast cancer,consensus independent component 16_Colorectal cancer,consensus independent component 11_Multiple myeloma,consensus independent component 9_Leukemia,consensus independent component 142_big,,
8,consensus independent component 58_Lung cancer,consensus independent component 178_Breast cancer,consensus independent component 45_big,,,,
9,consensus independent component 83_Breast cancer,consensus independent component 153_Colorectal cancer,consensus independent component 46_big,,,,
10,consensus independent component 227_Breast cancer,consensus independent component 63_Colorectal cancer,consensus independent component 22_Lung cancer,consensus independent component 76_big,,,
11,consensus independent component 39_Lung cancer,consensus independent component 48_Breast cancer,consensus independent component 2367_big,,,,
12,consensus independent component 131_Lung cancer,consensus independent component 295_Breast cancer,consensus independent component 100_Colorectal cancer,consensus independent component 183_big,,,
13,consensus independent component 103_Lung cancer,consensus independent component 59_Breast cancer,consensus independent component 337_big,,,,
14,consensus independent component 107_Breast cancer,consensus independent component 126_Colorectal cancer,consensus independent component 1_Normal,consensus independent component 20_Leukemia,consensus independent component 2649_big,,
15,consensus independent component 7_Lung cancer,consensus independent component 49_Breast cancer,consensus independent component 135_big,,,,
16,consensus independent component 20_Breast cancer,consensus independent component 5_Normal,consensus independent component 151_big,,,,
17,consensus independent component 177_Breast cancer,consensus independent component 33_Leukemia,consensus independent component 336_big,,,,
18,consensus independent component 186_Colorectal cancer,consensus independent component 93_Brain cancer,consensus independent component 431_big,,,,
19,consensus independent component 2_Lung cancer,consensus independent component 119_Breast cancer,consensus independent component 32_Colorectal cancer,consensus independent component 7_Normal,consensus independent component 10_Leukemia,consensus independent component 69_Brain cancer,consensus independent component 964_big
20,consensus independent component 6_Lung cancer,consensus independent component 173_Breast cancer,consensus independent component 18_Colorectal cancer,consensus independent component 1487_big,,,
21,consensus independent component 313_Breast cancer,consensus independent component 152_Colorectal cancer,consensus independent component 410_big,,,,
22,consensus independent component 72_Lung cancer,consensus independent component 156_Breast cancer,consensus independent component 221_big,,,,
23,consensus independent component 39_Colorectal cancer,consensus independent component 24_Normal,consensus independent component 807_big,,,,
24,consensus independent component 126_Lung cancer,consensus independent component 219_Breast cancer,consensus independent component 2628_big,,,,
25,consensus independent component 135_Lung cancer,consensus independent component 260_Breast cancer,consensus independent component 133_Colorectal cancer,consensus independent component 2886_big,,,
26,consensus independent component 5_Lung cancer,consensus independent component 115_Breast cancer,consensus independent component 24_Colorectal cancer,consensus independent component 26_Leukemia,consensus independent component 1_Brain cancer,consensus independent component 96_big,
27,consensus independent component 44_Lung cancer,consensus independent component 210_Breast cancer,consensus independent component 131_big,,,,
28,consensus independent component 299_Normal,consensus independent component 94_Brain cancer,consensus independent component 251_big,,,,
29,consensus independent component 19_Breast cancer,consensus independent component 48_Colorectal cancer,consensus independent component 28_big,,,,
30,consensus independent component 49_Lung cancer,consensus independent component 10_Breast cancer,consensus independent component 37_Colorectal cancer,consensus independent component 37_big,,,
31,consensus independent component 146_Lung cancer,consensus independent component 14_Breast cancer,consensus independent component 42_Lymphoma,consensus independent component 40_big,,,
32,consensus independent component 78_Lung cancer,consensus independent component 135_Breast cancer,consensus independent component 48_big,,,,
33,consensus independent component 92_Lung cancer,consensus independent component 140_Breast cancer,consensus independent component 2087_big,,,,
34,consensus independent component 314_Breast cancer,consensus independent component 131_Lymphoma,consensus independent component 117_HNSCC,consensus independent component 338_big,,,
35,consensus independent component 60_Breast cancer,consensus independent component 40_Colorectal cancer,consensus independent component 102_big,,,,
36,consensus independent component 90_Lung cancer,consensus independent component 68_Colorectal cancer,consensus independent component 1334_big,,,,
37,consensus independent component 26_Lung cancer,consensus independent component 6_Breast cancer,consensus independent component 19_Multiple myeloma,consensus independent component 75_big,,,
38,consensus independent component 82_Lung cancer,consensus independent component 142_Breast cancer,consensus independent component 481_big,,,,
39,consensus independent component 139_Lung cancer,consensus independent component 114_Breast cancer,consensus independent component 947_big,,,,
40,consensus independent component 272_Breast cancer,consensus independent component 63_Colorectal cancer,consensus independent component 22_Lung cancer,consensus independent component 76_big,,,
41,consensus independent component 252_Breast cancer,consensus independent component 164_Colorectal cancer,consensus independent component 637_big,,,,
42,consensus independent component 194_Breast cancer,consensus independent component 99_Colorectal cancer,consensus independent component 1293_big,,,,
43,consensus independent component 185_Colorectal cancer,consensus independent component 38_Multiple myeloma,consensus independent component 54_Leukemia,consensus independent component 122_big,,,
44,consensus independent component 65_Breast cancer,consensus independent component 37_Normal,consensus independent component 78_Brain cancer,consensus independent component 469_big,,,
45,consensus independent component 13_Colorectal cancer,consensus independent component 51_Leukemia,consensus independent component 79_big,,,,
46,consensus independent component 29_Lung cancer,consensus independent component 2_Breast cancer,consensus independent component 26_big,,,,
47,consensus independent component 42_Lung cancer,consensus independent component 170_Breast cancer,consensus independent component 93_Colorectal cancer,consensus independent component 154_big,,,
