,Small Component,Big Component,Small2 Component,Big2 Component,Score
86,consensus independent component 105_Lymphoma,consensus independent component 1655_big,consensus independent component 77_Multiple myeloma,consensus independent component 885_big,0.5972714535341731
3126,consensus independent component 7_Renal cancer,consensus independent component 3726_big,consensus independent component 54_HCC,consensus independent component 2439_big,0.5823935655652871
3067,consensus independent component 77_Multiple myeloma,consensus independent component 885_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.5786892390755288
507,consensus independent component 133_Brain cancer,consensus independent component 1235_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.5732306057476079
2555,consensus independent component 54_HCC,consensus independent component 2439_big,consensus independent component 7_Renal cancer,consensus independent component 3726_big,0.5705927383616095
1994,consensus independent component 35_Myelodysplastic syndrome,consensus independent component 2439_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.567261219713833
2172,consensus independent component 41_Gastric cancer,consensus independent component 1655_big,consensus independent component 7_Renal cancer,consensus independent component 3726_big,0.5634791268247771
2922,consensus independent component 6_Melanoma,consensus independent component 1655_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.5604761180085831
2072,consensus independent component 38_HNSCC,consensus independent component 2439_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.5468644644071106
3384,consensus independent component 93_Sarcoma,consensus independent component 855_big,consensus independent component 7_Renal cancer,consensus independent component 3726_big,0.529574813436588
2537,consensus independent component 53_Prostate cancer,consensus independent component 855_big,consensus independent component 6_Melanoma,consensus independent component 1655_big,0.5266706653937353
279,consensus independent component 118_Gastric cancer,consensus independent component 2810_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.5038020337755063
3415,consensus independent component 95_Renal cancer,consensus independent component 3630_big,consensus independent component 118_Gastric cancer,consensus independent component 2810_big,0.503452976533097
2765,consensus independent component 61_Prostate cancer,consensus independent component 1655_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.49528453453648275
821,consensus independent component 155_Melanoma,consensus independent component 92_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.48599173761070047
215,consensus independent component 113_HCC,consensus independent component 3454_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.46818453640477287
947,consensus independent component 167_Colorectal cancer,consensus independent component 2923_big,consensus independent component 49_Leukemia,consensus independent component 254_big,0.46413457714418815
1246,consensus independent component 19_Ovarian cancer,consensus independent component 92_big,consensus independent component 105_Lymphoma,consensus independent component 1655_big,0.4569093898174842
704,consensus independent component 147_HNSCC,consensus independent component 1655_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.4542790531901973
2399,consensus independent component 49_Leukemia,consensus independent component 254_big,consensus independent component 167_Colorectal cancer,consensus independent component 2923_big,0.44982842685524804
3252,consensus independent component 87_Adrenal cancer,consensus independent component 855_big,consensus independent component 7_Renal cancer,consensus independent component 3726_big,0.4216116362979193
545,consensus independent component 135_Sarcoma,consensus independent component 3630_big,consensus independent component 155_Melanoma,consensus independent component 92_big,0.4194359303223441
2745,consensus independent component 60_Normal,consensus independent component 44_big,consensus independent component 308_Breast cancer,consensus independent component 2116_big,0.3875326441055484
2494,consensus independent component 52_Adrenal cancer,consensus independent component 3159_big,consensus independent component 155_Melanoma,consensus independent component 92_big,0.38728494437574446
2081,consensus independent component 38_Prostate cancer,consensus independent component 3378_big,consensus independent component 28_Renal cancer,consensus independent component 3378_big,0.38178150311972553
2500,consensus independent component 52_HNSCC,consensus independent component 3474_big,consensus independent component 111_Renal cancer,consensus independent component 2505_big,0.3811007565661252
