,Small Component,Big Component,Small2 Component,Big2 Component,Score
129,consensus independent component 171_s2,consensus independent component 136_big,consensus independent component 12_s1,consensus independent component 150_big,0.6819973587148004
282,consensus independent component 73_s2,consensus independent component 153_big,consensus independent component 4_s1,consensus independent component 153_big,0.35324117222425455
167,consensus independent component 21_s1,consensus independent component 31_big,consensus independent component 174_s2,consensus independent component 139_big,0.15146777132544667
28,consensus independent component 113_s1,consensus independent component 118_big,consensus independent component 190_s2,consensus independent component 72_big,0.0878040514139283
267,consensus independent component 67_s1,consensus independent component 60_big,consensus independent component 186_s2,consensus independent component 60_big,0.08525459969295246
80,consensus independent component 137_s1,consensus independent component 54_big,consensus independent component 33_s2,consensus independent component 54_big,0.0669496285691191
32,consensus independent component 115_s1,consensus independent component 65_big,consensus independent component 183_s2,consensus independent component 55_big,0.03885179553590623
225,consensus independent component 48_s1,consensus independent component 95_big,consensus independent component 136_s2,consensus independent component 72_big,-0.006624294837867542
52,consensus independent component 124_s1,consensus independent component 63_big,consensus independent component 164_s2,consensus independent component 91_big,-0.015123118118651316
130,consensus independent component 172_s2,consensus independent component 150_big,consensus independent component 12_s1,consensus independent component 150_big,-0.020200049295971308
120,consensus independent component 164_s2,consensus independent component 91_big,consensus independent component 14_s1,consensus independent component 83_big,-0.03300628043469832
159,consensus independent component 197_s2,consensus independent component 152_big,consensus independent component 14_s1,consensus independent component 83_big,-0.05652864842923841
124,consensus independent component 168_s2,consensus independent component 171_big,consensus independent component 34_s1,consensus independent component 44_big,-0.06676166054308272
152,consensus independent component 190_s2,consensus independent component 72_big,consensus independent component 109_s1,consensus independent component 122_big,-0.0702531290171095
294,consensus independent component 79_s2,consensus independent component 54_big,consensus independent component 19_s1,consensus independent component 78_big,-0.079235849892498
207,consensus independent component 3_s1,consensus independent component 111_big,consensus independent component 49_s2,consensus independent component 111_big,-0.08874251405653377
79,consensus independent component 136_s2,consensus independent component 72_big,consensus independent component 37_s1,consensus independent component 91_big,-0.09542963375038456
150,consensus independent component 18_s1,consensus independent component 135_big,consensus independent component 142_s2,consensus independent component 135_big,-0.1038335042729861
156,consensus independent component 194_s2,consensus independent component 69_big,consensus independent component 75_s1,consensus independent component 36_big,-0.11416394284468148
70,consensus independent component 132_s1,consensus independent component 91_big,consensus independent component 197_s2,consensus independent component 152_big,-0.13614596894778624
315,consensus independent component 89_s1,consensus independent component 113_big,consensus independent component 189_s2,consensus independent component 163_big,-0.15797142530668895
222,consensus independent component 46_s2,consensus independent component 79_big,consensus independent component 60_s1,consensus independent component 79_big,-0.17498259444925468
313,consensus independent component 88_s1,consensus independent component 157_big,consensus independent component 151_s2,consensus independent component 152_big,-0.17853679091078387
137,consensus independent component 179_s2,consensus independent component 142_big,consensus independent component 5_s1,consensus independent component 142_big,-0.1819756783824954
231,consensus independent component 50_s1,consensus independent component 159_big,consensus independent component 150_s2,consensus independent component 159_big,-0.18325832458598212
163,consensus independent component 1_s1,consensus independent component 143_big,consensus independent component 162_s2,consensus independent component 143_big,-0.19331697003805925
153,consensus independent component 191_s2,consensus independent component 61_big,consensus independent component 136_s1,consensus independent component 27_big,-0.20285130147583785
144,consensus independent component 184_s2,consensus independent component 87_big,consensus independent component 25_s1,consensus independent component 87_big,-0.2079138311155348
292,consensus independent component 78_s2,consensus independent component 124_big,consensus independent component 128_s1,consensus independent component 124_big,-0.21001406429563635
182,consensus independent component 28_s2,consensus independent component 50_big,consensus independent component 64_s1,consensus independent component 50_big,-0.2146502961132154
227,consensus independent component 49_s1,consensus independent component 137_big,consensus independent component 154_s2,consensus independent component 137_big,-0.2311564670092937
