,0,1,2,3
0,consensus independent component 95_s2,consensus independent component 42_s1,consensus independent component 7_big,
1,consensus independent component 76_s2,consensus independent component 65_s1,consensus independent component 108_big,
2,consensus independent component 88_s2,consensus independent component 136_s1,consensus independent component 105_big,
3,consensus independent component 53_s2,consensus independent component 134_s1,consensus independent component 100_big,
4,consensus independent component 55_s2,consensus independent component 158_s1,consensus independent component 147_big,
5,consensus independent component 41_s2,consensus independent component 102_s1,consensus independent component 20_big,
6,consensus independent component 98_s2,consensus independent component 112_s1,consensus independent component 61_big,
7,consensus independent component 93_s2,consensus independent component 26_s1,consensus independent component 75_big,
8,consensus independent component 13_s2,consensus independent component 115_s1,consensus independent component 25_big,
9,consensus independent component 60_s2,consensus independent component 105_s1,consensus independent component 51_big,
10,consensus independent component 37_s2,consensus independent component 11_s1,consensus independent component 8_big,
11,consensus independent component 87_s2,consensus independent component 95_s1,consensus independent component 43_big,
12,consensus independent component 17_s2,consensus independent component 85_s1,consensus independent component 55_big,
13,consensus independent component 58_s2,consensus independent component 2_s1,consensus independent component 136_big,
14,consensus independent component 25_s2,consensus independent component 87_s1,consensus independent component 60_big,
15,consensus independent component 11_s2,consensus independent component 5_s1,consensus independent component 4_big,
16,consensus independent component 28_s2,consensus independent component 18_s1,consensus independent component 15_big,
17,consensus independent component 7_s3,consensus independent component 57_s2,consensus independent component 44_s1,consensus independent component 79_big
18,consensus independent component 92_s3,consensus independent component 63_s2,consensus independent component 149_s1,consensus independent component 159_big
19,consensus independent component 6_s2,consensus independent component 150_s1,consensus independent component 143_big,
20,consensus independent component 3_s2,consensus independent component 3_s1,consensus independent component 31_big,
21,consensus independent component 67_s2,consensus independent component 22_s1,consensus independent component 50_big,
22,consensus independent component 75_s3,consensus independent component 20_s2,consensus independent component 111_big,
