Group 1,Group 2,Fisher exact p_value
2_Clustered,Big,0.20113552223034825
3_Clustered,Big,0.14643804272696131
4_Clustered,Big,0.2306846124030514
2_Random,Big,0.9118575613382084
3_Random,Big,0.793120227077582
4_Random,Big,0.03860454377922182
2_Clustered,3_Clustered,0.4524105533904249
2_Clustered,4_Clustered,0.6273681076356392
3_Clustered,4_Clustered,0.7184604480466147
2_Random,3_Random,0.20886151749415574
2_Random,4_Random,4.974425467890471e-06
3_Random,4_Random,1.1718479575517771e-06
2_Random,2_Clustered,0.004673210508246721
3_Random,3_Clustered,0.002762595647244741
4_Clustered,4_Random,0.0524760827875782
