,Small Component,Big Component,Small2 Component,Big2 Component,Score
281,consensus independent component 37_s1,consensus independent component 76_big,consensus independent component 62_s2,consensus independent component 159_big,0.7179652262923383
288,consensus independent component 3_s2,consensus independent component 54_big,consensus independent component 50_s1,consensus independent component 161_big,0.668573883712782
177,consensus independent component 180_s2,consensus independent component 168_big,consensus independent component 147_s1,consensus independent component 168_big,0.5787650901672294
377,consensus independent component 80_s1,consensus independent component 138_big,consensus independent component 85_s2,consensus independent component 150_big,0.5390717345050254
30,consensus independent component 114_s1,consensus independent component 153_big,consensus independent component 108_s2,consensus independent component 163_big,0.5273837877453782
298,consensus independent component 44_s2,consensus independent component 153_big,consensus independent component 69_s1,consensus independent component 87_big,0.49927275340005806
6,consensus independent component 103_s1,consensus independent component 23_big,consensus independent component 25_s2,consensus independent component 106_big,0.4788124675843383
168,consensus independent component 177_s1,consensus independent component 83_big,consensus independent component 86_s2,consensus independent component 83_big,0.46037227244289886
190,consensus independent component 187_s1,consensus independent component 2_big,consensus independent component 188_s2,consensus independent component 30_big,0.44380585316441934
155,consensus independent component 170_s2,consensus independent component 60_big,consensus independent component 196_s1,consensus independent component 60_big,0.44232216090419285
306,consensus independent component 48_s2,consensus independent component 154_big,consensus independent component 3_s1,consensus independent component 163_big,0.4367832116711453
268,consensus independent component 30_s2,consensus independent component 54_big,consensus independent component 175_s1,consensus independent component 89_big,0.4279579626765614
300,consensus independent component 45_s2,consensus independent component 157_big,consensus independent component 76_s1,consensus independent component 39_big,0.4259126392027973
408,consensus independent component 94_s2,consensus independent component 55_big,consensus independent component 160_s1,consensus independent component 55_big,0.42461953174471423
208,consensus independent component 195_s1,consensus independent component 61_big,consensus independent component 162_s2,consensus independent component 61_big,0.41561628422217145
2,consensus independent component 101_s1,consensus independent component 154_big,consensus independent component 155_s2,consensus independent component 54_big,0.40903962735714805
89,consensus independent component 140_s2,consensus independent component 150_big,consensus independent component 100_s1,consensus independent component 150_big,0.4021183358927583
239,consensus independent component 209_s2,consensus independent component 69_big,consensus independent component 156_s1,consensus independent component 36_big,0.3728341587167902
92,consensus independent component 142_s1,consensus independent component 169_big,consensus independent component 118_s2,consensus independent component 6_big,0.3687522913890406
68,consensus independent component 131_s1,consensus independent component 67_big,consensus independent component 175_s2,consensus independent component 121_big,0.34543910490215207
234,consensus independent component 206_s1,consensus independent component 119_big,consensus independent component 185_s2,consensus independent component 141_big,0.3352921616333531
202,consensus independent component 192_s1,consensus independent component 138_big,consensus independent component 202_s2,consensus independent component 163_big,0.3148348135721176
46,consensus independent component 121_s1,consensus independent component 131_big,consensus independent component 84_s2,consensus independent component 157_big,0.3038425600753767
254,consensus independent component 24_s2,consensus independent component 139_big,consensus independent component 176_s1,consensus independent component 31_big,0.29939028565340936
27,consensus independent component 112_s2,consensus independent component 151_big,consensus independent component 148_s1,consensus independent component 151_big,0.2891741061893753
373,consensus independent component 79_s1,consensus independent component 138_big,consensus independent component 8_s2,consensus independent component 64_big,0.2524705106668157
76,consensus independent component 135_s1,consensus independent component 44_big,consensus independent component 195_s2,consensus independent component 163_big,0.22176459151436873
183,consensus independent component 183_s2,consensus independent component 31_big,consensus independent component 176_s1,consensus independent component 31_big,0.19258534685989548
141,consensus independent component 164_s2,consensus independent component 164_big,consensus independent component 142_s1,consensus independent component 169_big,0.17885886570441695
