,0,1,2,3
0,consensus independent component 159_s3,consensus independent component 37_s2,consensus independent component 61_s1,consensus independent component 80_big
1,consensus independent component 290_s3,consensus independent component 274_s2,consensus independent component 86_big,
2,consensus independent component 207_s2,consensus independent component 83_s1,consensus independent component 110_big,
3,consensus independent component 115_s3,consensus independent component 106_s2,consensus independent component 134_s1,consensus independent component 127_big
4,consensus independent component 91_s3,consensus independent component 222_s2,consensus independent component 22_s1,consensus independent component 16_big
5,consensus independent component 25_s3,consensus independent component 149_s2,consensus independent component 194_s1,consensus independent component 9_big
6,consensus independent component 16_s3,consensus independent component 148_s2,consensus independent component 100_s1,consensus independent component 59_big
7,consensus independent component 123_s3,consensus independent component 167_s2,consensus independent component 69_s1,consensus independent component 40_big
8,consensus independent component 63_s3,consensus independent component 56_s2,consensus independent component 163_s1,consensus independent component 11_big
9,consensus independent component 96_s3,consensus independent component 129_s2,consensus independent component 97_s1,consensus independent component 115_big
10,consensus independent component 129_s3,consensus independent component 118_s2,consensus independent component 169_s1,consensus independent component 45_big
11,consensus independent component 274_s3,consensus independent component 141_s2,consensus independent component 228_s1,consensus independent component 119_big
12,consensus independent component 97_s3,consensus independent component 14_s2,consensus independent component 70_s1,consensus independent component 12_big
13,consensus independent component 248_s1,consensus independent component 64_s2,consensus independent component 171_s3,consensus independent component 43_big
14,consensus independent component 71_s3,consensus independent component 101_s2,consensus independent component 94_s1,consensus independent component 98_big
15,consensus independent component 241_s3,consensus independent component 112_s2,consensus independent component 192_s1,consensus independent component 128_big
16,consensus independent component 123_s1,consensus independent component 234_s2,consensus independent component 41_s3,consensus independent component 67_big
17,consensus independent component 160_s3,consensus independent component 127_s2,consensus independent component 170_s1,consensus independent component 90_big
18,consensus independent component 121_s3,consensus independent component 58_s2,consensus independent component 12_s1,consensus independent component 35_big
19,consensus independent component 205_s1,consensus independent component 64_s2,consensus independent component 171_s3,consensus independent component 43_big
20,consensus independent component 221_s3,consensus independent component 227_s1,consensus independent component 6_big,
21,consensus independent component 21_s3,consensus independent component 38_s2,consensus independent component 58_s1,consensus independent component 95_big
22,consensus independent component 67_s1,consensus independent component 145_s2,consensus independent component 251_s3,consensus independent component 82_big
23,consensus independent component 117_s3,consensus independent component 99_s2,consensus independent component 183_s1,consensus independent component 125_big
24,consensus independent component 92_s3,consensus independent component 36_s2,consensus independent component 53_s1,consensus independent component 75_big
25,consensus independent component 177_s1,consensus independent component 172_s2,consensus independent component 181_s3,consensus independent component 133_big
26,consensus independent component 243_s1,consensus independent component 108_s2,consensus independent component 68_s3,consensus independent component 24_big
27,consensus independent component 150_s1,consensus independent component 224_s2,consensus independent component 158_s3,consensus independent component 138_big
28,consensus independent component 278_s1,consensus independent component 147_s2,consensus independent component 41_s3,consensus independent component 67_big
29,consensus independent component 219_s1,consensus independent component 23_s2,consensus independent component 95_s3,consensus independent component 121_big
30,consensus independent component 95_s1,consensus independent component 18_s2,consensus independent component 49_s3,consensus independent component 135_big
31,consensus independent component 139_s3,consensus independent component 219_s2,consensus independent component 149_big,
32,consensus independent component 109_s1,consensus independent component 143_s2,consensus independent component 278_s3,consensus independent component 108_big
33,consensus independent component 262_s2,consensus independent component 200_s1,consensus independent component 84_big,
34,consensus independent component 77_s3,consensus independent component 131_s2,consensus independent component 129_s1,consensus independent component 49_big
35,consensus independent component 36_s3,consensus independent component 27_s2,consensus independent component 76_s1,consensus independent component 25_big
36,consensus independent component 245_s3,consensus independent component 205_s2,consensus independent component 214_s1,consensus independent component 118_big
37,consensus independent component 177_s1,consensus independent component 166_s2,consensus independent component 181_s3,consensus independent component 133_big
38,consensus independent component 201_s3,consensus independent component 142_s2,consensus independent component 168_s1,consensus independent component 27_big
39,consensus independent component 144_s3,consensus independent component 153_s2,consensus independent component 92_s1,consensus independent component 65_big
40,consensus independent component 127_s3,consensus independent component 87_s2,consensus independent component 72_s1,consensus independent component 76_big
41,consensus independent component 96_s2,consensus independent component 131_s1,consensus independent component 105_big,
42,consensus independent component 210_s3,consensus independent component 184_s1,consensus independent component 160_big,
43,consensus independent component 188_s3,consensus independent component 250_s2,consensus independent component 106_s1,consensus independent component 17_big
44,consensus independent component 45_s1,consensus independent component 122_s2,consensus independent component 126_s3,consensus independent component 2_big
45,consensus independent component 176_s1,consensus independent component 74_s2,consensus independent component 298_s3,consensus independent component 101_big
46,consensus independent component 2_s3,consensus independent component 53_s2,consensus independent component 28_s1,consensus independent component 34_big
47,consensus independent component 109_s1,consensus independent component 143_s2,consensus independent component 210_s3,consensus independent component 108_big
48,consensus independent component 219_s3,consensus independent component 132_s2,consensus independent component 37_big,
49,consensus independent component 100_s3,consensus independent component 86_s2,consensus independent component 133_s1,consensus independent component 74_big
50,consensus independent component 141_s3,consensus independent component 158_s2,consensus independent component 92_s1,consensus independent component 56_big
51,consensus independent component 120_s3,consensus independent component 190_s1,consensus independent component 123_big,
52,consensus independent component 269_s3,consensus independent component 194_s2,consensus independent component 87_s1,consensus independent component 78_big
53,consensus independent component 273_s2,consensus independent component 191_s1,consensus independent component 81_big,
54,consensus independent component 109_s3,consensus independent component 52_s2,consensus independent component 113_s1,consensus independent component 58_big
55,consensus independent component 69_s3,consensus independent component 62_s2,consensus independent component 195_s1,consensus independent component 163_big
56,consensus independent component 102_s3,consensus independent component 152_s2,consensus independent component 27_s1,consensus independent component 18_big
57,consensus independent component 135_s3,consensus independent component 218_s2,consensus independent component 152_s1,consensus independent component 28_big
58,consensus independent component 231_s1,consensus independent component 91_s2,consensus independent component 70_s3,consensus independent component 97_big
59,consensus independent component 48_s3,consensus independent component 19_s2,consensus independent component 36_s1,consensus independent component 5_big
60,consensus independent component 6_s3,consensus independent component 120_s2,consensus independent component 151_s1,consensus independent component 69_big
61,consensus independent component 290_s1,consensus independent component 103_s2,consensus independent component 143_s3,consensus independent component 99_big
62,consensus independent component 45_s1,consensus independent component 122_s2,consensus independent component 300_s3,consensus independent component 2_big
63,consensus independent component 271_s3,consensus independent component 126_s2,consensus independent component 139_s1,consensus independent component 156_big
64,consensus independent component 64_s3,consensus independent component 55_s2,consensus independent component 21_s1,consensus independent component 100_big
65,consensus independent component 177_s3,consensus independent component 193_s2,consensus independent component 26_s1,consensus independent component 60_big
66,consensus independent component 278_s1,consensus independent component 234_s2,consensus independent component 41_s3,consensus independent component 67_big
67,consensus independent component 32_s3,consensus independent component 45_s2,consensus independent component 46_s1,consensus independent component 116_big
68,consensus independent component 147_s3,consensus independent component 173_s2,consensus independent component 175_s1,consensus independent component 55_big
69,consensus independent component 150_s1,consensus independent component 246_s2,consensus independent component 158_s3,consensus independent component 138_big
70,consensus independent component 18_s3,consensus independent component 130_s2,consensus independent component 125_s1,consensus independent component 136_big
71,consensus independent component 153_s3,consensus independent component 134_s2,consensus independent component 102_s1,consensus independent component 88_big
72,consensus independent component 125_s3,consensus independent component 198_s2,consensus independent component 174_s1,consensus independent component 61_big
73,consensus independent component 112_s3,consensus independent component 41_s2,consensus independent component 41_s1,consensus independent component 32_big
74,consensus independent component 30_s3,consensus independent component 79_s2,consensus independent component 17_s1,consensus independent component 87_big
75,consensus independent component 124_s3,consensus independent component 95_s2,consensus independent component 127_s1,consensus independent component 51_big
76,consensus independent component 234_s3,consensus independent component 170_s2,consensus independent component 216_s1,consensus independent component 41_big
77,consensus independent component 171_s3,consensus independent component 28_s2,consensus independent component 159_s1,consensus independent component 68_big
78,consensus independent component 231_s3,consensus independent component 243_s2,consensus independent component 173_s1,consensus independent component 83_big
79,consensus independent component 163_s3,consensus independent component 144_s2,consensus independent component 251_s1,consensus independent component 30_big
80,consensus independent component 166_s3,consensus independent component 203_s2,consensus independent component 82_s1,consensus independent component 54_big
81,consensus independent component 249_s2,consensus independent component 242_s1,consensus independent component 157_big,
82,consensus independent component 31_s3,consensus independent component 5_s2,consensus independent component 49_s1,consensus independent component 71_big
83,consensus independent component 74_s3,consensus independent component 44_s2,consensus independent component 20_s1,consensus independent component 143_big
84,consensus independent component 114_s3,consensus independent component 26_s2,consensus independent component 29_s1,consensus independent component 122_big
85,consensus independent component 266_s3,consensus independent component 154_s2,consensus independent component 65_s1,consensus independent component 137_big
86,consensus independent component 202_s3,consensus independent component 34_s2,consensus independent component 40_s1,consensus independent component 130_big
87,consensus independent component 123_s1,consensus independent component 284_s2,consensus independent component 41_s3,consensus independent component 67_big
88,consensus independent component 3_s3,consensus independent component 24_s2,consensus independent component 55_s1,consensus independent component 29_big
89,consensus independent component 278_s1,consensus independent component 284_s2,consensus independent component 41_s3,consensus independent component 67_big
90,consensus independent component 232_s3,consensus independent component 257_s2,consensus independent component 167_big,
91,consensus independent component 104_s3,consensus independent component 124_s2,consensus independent component 79_s1,consensus independent component 113_big
92,consensus independent component 154_s1,consensus independent component 108_s2,consensus independent component 68_s3,consensus independent component 24_big
