chrom	chromStart	chromEnd	name	extreme_value_region_status	mappings_in_region	hyperparameter
11	198509	134471071	consensus independent component 41_Gastric cancer	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 93_Sarcoma	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 53_Prostate cancer	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 7_Renal cancer	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 54_HCC	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 19_Ovarian cancer	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 105_Lymphoma	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 77_Multiple myeloma	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	54707366.5	consensus independent component 87_Adrenal cancer	0	387	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	55827686	56177086.5	consensus independent component 87_Adrenal cancer	1	3	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	57037996.5	134471071	consensus independent component 87_Adrenal cancer	0	744	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 35_Myelodysplastic syndrome	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 133_Brain cancer	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 6_Melanoma	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
11	198509	134471071	consensus independent component 38_HNSCC	0	1134	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 41_Gastric cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 93_Sarcoma	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 53_Prostate cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
